ID_accident,Latitude,Longitude,Date_and_hour,Security_measures,User_of_security_measures,Place,Sex,User_category,Intersection,Weather_condition,Collision,Surface,Circulation,Width_of_the_roadway,Width_of_the_central_bar,Number_of_channels,Road_category,Plan,Situation,Year_of_birth,Pedestrian_action,Health_condition,Point_of_shock,Manuver,Vehicle_category
"2,01E+11",,,2014-10-16T17:15:00+02:00,"Seat Belt,Seat Belt,Seat Belt,Seat Belt","Yes,Yes,Yes,Yes","2,1,1,1","Man,Man,Man,Woman","Passenger,Driver,Driver,Driver",1,Light Rain,Three or More Vehicles - Multiple Collisions,Wet,Bidirectional,62,0,2,Departmental Road,In a left curve,On the roadway,"1,986,196,119,621,990","Moving,Moving,Moving,Moving","Killed,Injured,Injured,Unharmed","Front,Right side,Front","Without changing direction,Shifted to the left,Evasive maneuver","Solo light utility vehicle 1,Solo car,Solo car"
"2,01E+11",4658512,0011045,2014-08-17T13:00:00+02:00,"Seat Belt,Seat Belt,Seat Belt","Yes,Yes,Yes","1,1,2","Woman,Man,Woman","Driver,Driver,Passenger",2,Normal,Two Vehicles – Side Collision,Normal,Bidirectional,48,0,0,Departmental Road,Straight section,On the roadway,"195,519,522,005","Moving,Moving,Moving","Injured,Injured,Injured","Right side,Front","Crossing the roadway,Without changing direction","Solo car,Solo car"
"2,02E+11",4674336,0043649,2017-03-03T10:25:00+01:00,"Seat Belt,Seat Belt","Yes,Yes","1,2","Man,Man","Driver,Passenger",1,Normal,Other Collision,Normal,With separated carriageways,100,30,2,Motorway,In a left curve,On the shoulder,"19,931,985","Moving,Moving","Unharmed,Injured",Front right,,Heavy goods vehicle > 3 tons
"2,02E+11",4654732,0029851,2017-07-02T21:25:00+02:00,"Seat Belt,Seat Belt,Seat Belt,Seat Belt","Yes,Yes,Yes,Yes","2,3,1,1","Man,Woman,Woman,Man","Passenger,Passenger,Driver,Driver",6,Normal,Two Vehicles – Side Collision,Wet,One way,70,0,1,National Road,In a left curve,On the roadway,"1,997,199,719,581,990","Moving,Moving,Moving,Moving","Unharmed,Injured,Unharmed,Injured","Front right,Rear left","Same direction,Same direction","Solo car,Solo car"
"2,02E+11",4663211,0029219,2017-07-14T16:00:00+02:00,"Seat Belt,Seat Belt,Seat Belt","Yes,Yes,Yes","2,1,1","Woman,Man,Man","Passenger,Driver,Driver",1,Normal,Two Vehicles - Head-on,Normal,With variable assignment lanes,0,0,4,National Road,Straight section,On the roadway,"197,019,791,967","Moving,Moving,Moving","Injured,Injured,Unharmed","Front,Front","Without changing direction,Going the wrong way","Solo car,Solo car"
"2,02E+11",4661360,0034912,2017-07-25T03:55:00+02:00,Seat Belt,Yes,1,Man,Driver,6,Normal,No Collision,Normal,Bidirectional,0,0,4,Departmental Road,Straight section,On the roadway,1993,Moving,Injured,,Without changing direction,Solo car
"2,02E+11",4660250,0036111,2017-09-05T00:05:00+02:00,Helmet,Yes,1,Man,Driver,1,Normal,Other Collision,Normal,Bidirectional,60,0,2,Municipal Road,Straight section,On the roadway,1967,Moving,Injured,Front,Without changing direction,Motorcycle > 50 cc and <= 125 cc
"2,02E+11",4659953,0033882,2017-11-27T07:30:00+01:00,"Seat Belt,Seat Belt","Yes,Yes","1,1","Man,Man","Driver,Driver",1,Normal,Two Vehicles - Head-on,Normal,Bidirectional,70,0,2,Municipal Road,Straight section,On the roadway,"19,951,965","Moving,Moving","Injured,Injured","Front,Front","Shifted to the left,Without changing direction","Solo car,Solo light utility vehicle 1"
"2,02E+11",,,2017-03-13T15:00:00+01:00,"Seat Belt,Seat Belt","Yes,Yes","1,1","Man,Man","Driver,Driver",2,Normal,Two Vehicles – Rear-end,Normal,With separated carriageways,140,0,4,Departmental Road,Straight section,On the roadway,"19,611,964","Moving,Moving","Unharmed,Injured",Front left,Same direction,"Solo car,Solo heavy goods vehicle > 7 tons"
"2,02E+11",4661599,0031263,2017-03-17T23:10:00+01:00,"Seat Belt,Seat Belt","Yes,Yes","2,1","Man,Man","Passenger,Driver",1,Normal,Other Collision,Normal,With separated carriageways,146,40,4,Municipal Road,Straight section,On the roadway,"19,901,992","Moving,Moving","Injured,Injured",Front left,Without changing direction,Solo car
